DATE,MEX,ASA,CUN,CZM,HUX,MID,MTT,OAX,TAP,VER,VSA,AGU,BJX,GDL,HMO,LPP,LMM,MLM,MXL,PVR,SJD,TIJ,ZLO,ACA,CJS,CUL,CUU,DGO,MZT,MTY,REX,SLP,TAM,TRC,ZCL,ZIH,TYPE,FX
1/1/2011,220.2,194.7,249.1,336.3,272.0,309.9,263.9,263.9,263.9,284.9,272.0,289.1,351.9,377.1,364.5,351.9,326.8,351.9,251.4,326.8,364.5,289.1,314.2,377.1,301.7,307.9,326.8,326.8,339.4,301.7,301.7,339.4,326.8,326.8,326.8,326.8,International,12.5689291
2/1/2011,218.9,193.6,247.7,334.4,270.4,308.2,262.4,262.4,262.4,283.3,270.4,287.4,349.9,374.9,362.4,349.9,324.9,349.9,249.9,324.9,362.4,287.4,312.4,374.9,299.9,306.2,324.9,324.9,337.4,299.9,299.9,337.4,324.9,324.9,324.9,324.9,International,12.49651542
3/1/2011,218.1,192.8,246.7,333.1,269.4,307.0,261.4,261.4,261.4,282.2,269.4,286.3,348.6,373.4,361.0,348.6,323.7,348.6,249.0,323.7,361.0,286.3,311.2,373.4,298.8,305.0,323.7,323.7,336.1,298.8,298.8,336.1,323.7,323.7,323.7,323.7,International,12.44822127
4/1/2011,217.2,197.8,245.8,331.8,268.3,305.8,260.4,260.4,260.4,281.1,268.3,297.7,362.4,388.4,375.3,362.4,336.5,362.4,258.9,336.5,375.3,297.7,323.6,421.6,316.2,347.2,347.2,372.0,359.6,341.0,322.4,384.4,359.6,365.8,365.8,372.0,International,12.39962627
5/1/2011,215.6,196.3,243.9,329.3,266.3,303.4,265.2,265.2,258.4,279.0,266.3,295.4,359.7,385.4,372.5,359.7,334.0,359.7,256.9,334.0,372.5,295.4,321.2,418.4,313.8,344.5,344.5,369.2,356.8,338.4,319.9,381.5,356.8,363.0,363.0,369.2,International,12.30512757
6/1/2011,214.2,195.0,242.4,327.2,264.6,301.5,263.5,263.5,256.8,277.2,264.6,293.6,357.4,383.0,370.1,357.4,331.9,357.4,255.3,331.9,370.1,293.6,319.2,415.8,311.8,342.4,342.4,366.8,354.6,336.3,317.9,379.1,354.6,360.7,360.7,366.8,International,12.228068
7/1/2011,212.6,193.5,256.9,324.7,271.9,311.7,261.5,261.5,262.6,287.7,262.6,291.3,354.7,380.0,367.3,354.7,329.3,354.7,253.3,329.3,367.3,291.3,316.7,412.5,309.4,339.7,339.7,364.0,351.9,333.7,315.5,376.1,351.9,357.9,357.9,364.0,International,12.13318159
8/1/2011,211.8,192.9,256.0,359.5,271.0,310.6,260.6,260.6,261.7,286.7,261.7,290.3,353.4,378.7,366.0,353.4,328.2,353.4,252.5,328.2,366.0,290.3,315.6,411.1,308.3,338.6,338.6,362.7,350.7,332.5,314.4,374.8,350.7,356.7,356.7,362.7,International,12.0915586
9/1/2011,222.1,193.2,256.4,360.1,271.4,311.1,261.0,261.0,262.1,287.2,262.1,290.8,354.0,379.3,366.6,354.0,328.7,354.0,252.9,328.7,366.6,290.8,316.1,411.8,308.8,339.1,339.1,363.3,351.2,333.1,314.9,375.4,351.2,357.3,357.3,363.3,International,12.11116264
10/1/2011,223.5,194.4,258.0,362.3,273.1,313.0,262.6,262.6,263.7,288.9,263.7,292.6,356.2,381.6,368.8,356.2,330.7,356.2,254.4,330.7,368.8,292.6,318.0,414.3,365.6,377.7,377.7,396.0,389.9,389.9,316.8,377.7,371.7,377.7,359.5,405.2,International,12.18526122
